survey,survey_n,survey_start_date,survey_end_date,survey_dates,model_sedimentation_class,tail_contrast,upper_tail_excess_cm,monitoring_gap_days,plot_segment
Con11,11,2026-02-12,2026-02-12,2026-02-12,1.5 mm predicted (solid red),99th minus |1st|,0.006666666666666821,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,1.5 mm predicted (solid red),99th minus |1st|,4.646666666666656,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,1.5 mm predicted (solid red),99th minus |1st|,1.326666666666663,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,1.5 mm predicted (solid red),99th minus |1st|,3.1516666666666584,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,1.5 mm predicted (solid red),99th minus |1st|,-1.501666666666668,14,2
Con25,25,2026-04-17,2026-04-17,2026-04-17,1.5 mm predicted (solid red),99th minus |1st|,-0.9983333333333348,10,2
Con1,1,2025-11-06,2025-11-07,"2025-11-06, 2025-11-07",0 cm predicted (outside),75th minus |25th|,-0.5833333333333334,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,0 cm predicted (outside),75th minus |25th|,-0.7500000000000001,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,0 cm predicted (outside),75th minus |25th|,-0.8333333333333333,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,0 cm predicted (outside),75th minus |25th|,-0.8333333333333334,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,0 cm predicted (outside),75th minus |25th|,-0.8333333333333335,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,0 cm predicted (outside),75th minus |25th|,-1,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,0 cm predicted (outside),75th minus |25th|,-0.6666666666666667,9,1
Con8,8,2026-01-15,2026-01-15,2026-01-15,0 cm predicted (outside),75th minus |25th|,-0.6666666666666667,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,0 cm predicted (outside),75th minus |25th|,-0.3333333333333333,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,0 cm predicted (outside),75th minus |25th|,-0.6666666666666669,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,0 cm predicted (outside),75th minus |25th|,-0.6666666666666667,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,0 cm predicted (outside),75th minus |25th|,-0.6666666666666667,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,0 cm predicted (outside),75th minus |25th|,-0.5,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,0 cm predicted (outside),75th minus |25th|,-0.33333333333333326,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,0 cm predicted (outside),75th minus |25th|,-0.6666666666666667,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",0 cm predicted (outside),75th minus |25th|,-1,9,2
Con1,1,2025-11-06,2025-11-07,"2025-11-06, 2025-11-07",0 cm predicted (outside),90th minus |10th|,-0.6999999999999992,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,0 cm predicted (outside),90th minus |10th|,-1.1666666666666665,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,0 cm predicted (outside),90th minus |10th|,-1.1666666666666665,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,0 cm predicted (outside),90th minus |10th|,-1.0333333333333325,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,0 cm predicted (outside),90th minus |10th|,-1.3333333333333335,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,0 cm predicted (outside),90th minus |10th|,-1.5,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,0 cm predicted (outside),90th minus |10th|,-0.9666666666666688,9,1
Con8,8,2026-01-15,2026-01-15,2026-01-15,0 cm predicted (outside),90th minus |10th|,-0.9666666666666686,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,0 cm predicted (outside),90th minus |10th|,-0.5333333333333328,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,0 cm predicted (outside),90th minus |10th|,-0.8666666666666659,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,0 cm predicted (outside),90th minus |10th|,-0.8333333333333336,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,0 cm predicted (outside),90th minus |10th|,-1.1666666666666667,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,0 cm predicted (outside),90th minus |10th|,-0.9999999999999998,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,0 cm predicted (outside),90th minus |10th|,-0.6333333333333353,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,0 cm predicted (outside),90th minus |10th|,-0.9999999999999998,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",0 cm predicted (outside),90th minus |10th|,-1.3333333333333333,9,2
Con1,1,2025-11-06,2025-11-07,"2025-11-06, 2025-11-07",0 cm predicted (outside),99th minus |1st|,-0.6666666666666665,NA,0
Con2,2,2025-11-17,2025-11-17,2025-11-17,0 cm predicted (outside),99th minus |1st|,-0.49999999999999734,11,0
Con3,3,2025-11-26,2025-11-26,2025-11-26,0 cm predicted (outside),99th minus |1st|,-0.9566666666666586,9,0
Con4,4,2025-12-05,2025-12-05,2025-12-05,0 cm predicted (outside),99th minus |1st|,0.3333333333333357,9,0
Con5,5,2025-12-14,2025-12-14,2025-12-14,0 cm predicted (outside),99th minus |1st|,-1.3466666666666647,9,0
Con6,6,2025-12-29,2025-12-29,2025-12-29,0 cm predicted (outside),99th minus |1st|,-1.6666666666666643,15,1
Con7,7,2026-01-07,2026-01-07,2026-01-07,0 cm predicted (outside),99th minus |1st|,-0.16666666666666696,9,1
Con8,8,2026-01-15,2026-01-15,2026-01-15,0 cm predicted (outside),99th minus |1st|,-0.7633333333333283,8,1
Con9,9,2026-01-24,2026-01-24,2026-01-24,0 cm predicted (outside),99th minus |1st|,-0.9733333333333332,9,1
Con10,10,2026-02-05,2026-02-05,2026-02-05,0 cm predicted (outside),99th minus |1st|,-0.4299999999999944,12,1
Con11,11,2026-02-12,2026-02-12,2026-02-12,0 cm predicted (outside),99th minus |1st|,-0.5433333333333277,7,1
Con12,12,2026-02-20,2026-02-20,2026-02-20,0 cm predicted (outside),99th minus |1st|,-1.7366666666666666,8,1
Con20,20,2026-03-10,2026-03-10,2026-03-10,0 cm predicted (outside),99th minus |1st|,-1.166666666666667,18,2
Con22,22,2026-03-24,2026-03-24,2026-03-24,0 cm predicted (outside),99th minus |1st|,-0.16666666666666385,14,2
Con24,24,2026-04-07,2026-04-07,2026-04-07,0 cm predicted (outside),99th minus |1st|,-1.3566666666666656,14,2
Con25,25,2026-04-16,2026-04-17,"2026-04-16, 2026-04-17",0 cm predicted (outside),99th minus |1st|,-1.9033333333333333,9,2
